session_id,video_file,minute,north,south,east,west,total
Session_2026-03-24_19-29,Toomers_day_1.mp4,1,113,395,0,60,568
Session_2026-03-24_19-29,Toomers_day_1.mp4,2,114,173,0,0,287
Session_2026-03-24_19-29,Toomers_day_1.mp4,3,104,337,60,60,561
Session_2026-03-24_19-29,Toomers_day_1.mp4,4,147,293,60,60,560
Session_2026-03-24_19-29,Toomers_day_1.mp4,5,181,261,60,0,502
Session_2026-03-24_19-29,Toomers_day_1.mp4,6,94,224,60,60,438
Session_2026-03-24_19-29,Toomers_day_1.mp4,7,160,296,60,0,516
Session_2026-03-24_19-29,Toomers_day_1.mp4,8,128,336,60,60,584
Session_2026-03-24_19-29,Toomers_day_1.mp4,9,78,262,60,60,460
Session_2026-03-24_19-29,Toomers_day_1.mp4,10,78,245,0,60,383
Session_2026-03-24_19-29,Toomers_day_1.mp4,11,163,379,60,60,662
Session_2026-03-24_19-29,Toomers_day_1.mp4,12,105,339,0,60,504
Session_2026-03-24_19-29,Toomers_day_1.mp4,13,127,307,60,0,494
Session_2026-03-24_19-29,Toomers_day_1.mp4,14,92,278,60,60,490
Session_2026-03-24_19-29,Toomers_day_1.mp4,15,121,247,0,60,428
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,1,148,281,60,60,549
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,2,140,174,60,0,374
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,3,106,348,60,60,574
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,4,112,375,0,60,547
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,5,185,319,0,60,564
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,6,115,363,60,60,598
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,7,86,308,0,60,454
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,8,104,311,0,0,415
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,9,92,265,60,60,477
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,10,65,363,0,60,488
Session_2026-03-25_00-07,Toomers_Day_1_part2.mp4,11,182,245,60,60,547
Session_2026-03-25_00-18,toomers_data_22.mp4,1,114,394,0,60,568
Session_2026-03-25_18-20,toomers_corner_day2.mp4,1,129,332,80,75,616
Session_2026-03-25_18-20,toomers_corner_day2.mp4,2,249,307,60,60,676
Session_2026-03-25_18-20,toomers_corner_day2.mp4,3,213,274,60,60,607
Session_2026-03-25_18-20,toomers_corner_day2.mp4,4,120,285,60,60,525
Session_2026-03-25_18-20,toomers_corner_day2.mp4,5,88,357,0,0,445
Session_2026-03-25_18-20,toomers_corner_day2.mp4,6,161,185,0,0,346
Session_2026-03-25_18-20,toomers_corner_day2.mp4,7,167,314,60,60,601
Session_2026-03-25_18-20,toomers_corner_day2.mp4,8,130,280,0,0,410
Session_2026-03-25_18-20,toomers_corner_day2.mp4,9,197,189,0,60,446
Session_2026-03-25_18-20,toomers_corner_day2.mp4,10,138,267,0,60,465
Session_2026-03-25_18-20,toomers_corner_day2.mp4,11,95,232,0,60,387
Session_2026-03-25_18-20,toomers_corner_day2.mp4,12,100,134,0,0,234
Session_2026-03-25_18-20,toomers_corner_day2.mp4,13,131,326,60,60,577
Session_2026-03-25_18-20,toomers_corner_day2.mp4,14,119,330,0,60,509
Session_2026-03-25_18-20,toomers_corner_day2.mp4,15,139,147,0,0,286
Session_2026-03-25_18-20,toomers_corner_day2.mp4,16,184,267,0,60,511
Session_2026-03-25_18-52,Day_2_part3.mp4,1,245,150,0,0,395
Session_2026-03-25_18-52,Day_2_part3.mp4,2,179,183,60,60,482
Session_2026-03-25_18-52,Day_2_part3.mp4,3,141,244,0,60,445
Session_2026-03-25_18-52,Day_2_part3.mp4,4,165,281,0,60,506
Session_2026-03-25_18-52,Day_2_part3.mp4,5,168,291,0,60,519
Session_2026-03-25_18-52,Day_2_part3.mp4,6,98,265,60,60,483
Session_2026-03-25_18-52,Day_2_part3.mp4,7,159,324,0,60,543
Session_2026-03-25_18-52,Day_2_part3.mp4,8,158,304,0,0,462
Session_2026-03-25_18-52,Day_2_part3.mp4,9,103,280,60,60,503
Session_2026-03-25_18-52,Day_2_part3.mp4,10,106,217,0,0,323
Session_2026-03-25_18-52,Day_2_part3.mp4,11,122,260,0,0,382
Session_2026-03-25_18-52,Day_2_part3.mp4,12,136,354,60,60,610
Session_2026-03-25_18-52,Day_2_part3.mp4,13,156,297,0,60,513
Session_2026-03-25_18-52,Day_2_part3.mp4,14,212,255,60,60,587
Session_2026-03-26_13-53,Day3_part1.mp4,1,169,255,0,0,424
Session_2026-03-26_13-53,Day3_part1.mp4,2,239,206,0,0,445
